date,users,sessions,marketing_cost,clicks,impressions,click_through_rate,avg_time_on_page,bouce_rate,units_sold,is_campaign_period,day_of_week,month_number
2022-04-08,5022,21018,136.4,62,5100.63,0.012,180,40,161,0,5,4
2022-04-09,6800,34708,404.8,184,9241.41,0.02,159,50,548,0,6,4
2022-04-10,4656,24748,129.8,59,3198.33,0.018,65,47,90,0,7,4
2022-04-11,7045,41813,290.4,132,5244.94,0.025,81,49,278,0,1,4
2022-04-12,4609,30987,235.4,107,4345.29,0.025,191,39,179,0,2,4
2022-04-13,5320,23087,209,95,5942.99,0.016,219,40,139,0,3,4
2022-04-14,6052,31784,248.6,113,4730.89,0.024,193,41,331,0,4,4
2022-04-15,5325,30375,338.8,154,5646.77,0.027,151,33,425,0,5,4
2022-04-16,7586,37845,385,175,11416.74,0.015,131,46,186,0,6,4
2022-04-17,3360,17621,156.2,71,3738.62,0.019,204,45,92,0,7,4
2022-04-18,5196,21087,222.2,101,6169.63,0.016,65,41,260,0,1,4
2022-04-19,7399,45678,371.8,169,6789.51,0.025,90,45,437,0,2,4
2022-04-20,5396,37508,220,100,7072.43,0.014,152,38,253,0,3,4
2022-04-21,5607,31260,354.2,161,5524.77,0.029,211,48,440,0,4,4
2022-04-22,7620,32033,226.6,103,4970.04,0.021,199,37,171,0,5,4
2022-04-23,5780,27615,140.8,64,2716.87,0.024,227,46,146,0,6,4
2022-04-24,7013,37802,369.6,168,7292.57,0.023,180,43,461,0,7,4
2022-04-25,7076,41084,440,200,12764.51,0.016,132,31,422,0,1,4
2022-04-26,5549,27896,321.2,146,9067.12,0.016,175,30,224,0,2,4
2022-04-27,5347,30621,349.8,159,9669.9,0.016,166,41,464,0,3,4
2022-04-28,7353,47938,418,190,11478.93,0.017,233,50,289,0,4,4
2022-04-29,5521,24323,154,70,3184.25,0.022,75,35,82,0,5,4
2022-04-30,6999,31134,310.2,141,5328,0.026,209,40,338,0,6,4
2022-05-01,8819,85123,792,360,29160.62,0.012,383,21,1609,1,7,5
2022-05-02,10022,93994,1133,515,35056.73,0.015,468,26,2453,1,1,5
2022-05-03,7814,56890,979,445,31369.97,0.014,283,28,1490,1,2,5
2022-05-04,8019,62338,1016.4,462,15570.86,0.03,331,27,2221,1,3,5
2022-05-05,8397,79269,1014.2,461,18975.88,0.024,421,11,1458,1,4,5
2022-05-06,4299,39369,435.6,198,14939.4,0.013,310,10,857,1,5,5
2022-05-07,7155,52334,816.2,371,14654.36,0.025,268,19,1484,1,6,5
2022-05-08,6642,28885,330,150,5753.82,0.026,95,45,333,0,7,5
2022-05-09,6445,38372,206.8,94,8814.39,0.011,140,47,129,0,1,5
2022-05-10,5184,28892,294.8,134,6376.62,0.021,182,36,175,0,2,5
2022-05-11,4319,24547,211.2,96,6158.78,0.016,185,43,210,0,3,5
2022-05-12,5668,26315,171.6,78,3941.8,0.02,88,44,126,0,4,5
2022-05-13,7085,41838,334.4,152,5278.87,0.029,81,48,250,0,5,5
2022-05-14,5894,34616,154,70,3806.13,0.018,143,38,180,0,6,5
2022-05-15,6170,41769,396,180,8083.3,0.022,124,39,367,0,7,5
2022-05-16,6023,31875,363,165,5699.56,0.029,209,35,243,0,1,5
2022-05-17,5098,33626,149.6,68,2733.56,0.025,182,38,95,0,2,5
2022-05-18,4158,17469,213.4,97,5370.83,0.018,207,32,213,0,3,5
2022-05-19,4730,28195,246.4,112,9326.29,0.012,89,37,298,0,4,5
2022-05-20,5195,24123,132,60,4098.92,0.015,125,32,136,0,5,5
2022-05-21,5319,34405,154,70,3004.28,0.023,135,45,202,0,6,5
2022-05-22,6708,38445,391.6,178,12388.37,0.014,111,48,324,0,7,5
2022-05-23,7490,33258,277.2,126,9640.95,0.013,104,47,297,0,1,5
2022-05-24,6918,37878,448.8,204,8999.44,0.023,207,39,375,0,2,5
2022-05-25,6023,27528,334.4,152,11149.98,0.014,139,40,295,0,3,5
2022-05-26,4832,30168,158.4,72,4655.41,0.015,203,47,186,0,4,5
2022-05-27,7417,46216,398.2,181,11861.35,0.015,202,37,292,0,5,5
2022-05-28,6217,29587,288.2,131,4834.9,0.027,165,46,150,0,6,5
2022-05-29,6162,36667,246.4,112,4654.29,0.024,120,44,167,0,7,5
2022-05-30,5526,31870,360.8,164,8301.85,0.02,208,31,204,0,1,5
2022-05-31,6437,33945,356.4,162,7581.55,0.021,188,38,418,0,2,5
2022-06-01,5089,33946,173.8,79,2644.66,0.03,137,45,181,0,3,6
2022-06-02,4127,24074,215.6,98,5963.14,0.016,71,44,257,0,4,6
2022-06-03,5230,22621,228.8,104,3919.04,0.027,151,39,282,0,5,6
2022-06-04,5945,24538,242,110,7138.46,0.015,132,45,130,0,6,6
2022-06-05,5744,31220,349.8,159,5847.92,0.027,104,37,430,0,7,6
2022-06-06,6426,32403,382.8,174,8776.08,0.02,132,41,437,0,1,6
2022-06-07,5190,30808,143,65,3300.83,0.02,114,39,125,0,2,6
2022-06-08,5485,22645,182.6,83,4095.76,0.02,173,46,151,0,3,6
2022-06-09,6638,33721,389.4,177,8958.8,0.02,83,44,223,0,4,6
2022-06-10,6293,41815,411.4,187,10840.34,0.017,121,50,365,0,5,6
2022-06-11,6105,28524,143,65,5100.9,0.013,159,38,89,0,6,6
2022-06-12,6152,32698,213.4,97,9622.63,0.01,84,50,277,0,7,6
2022-06-13,6822,39466,413.6,188,8679.21,0.022,179,33,188,0,1,6
2022-06-14,4790,19701,303.6,138,10553.97,0.013,107,32,158,0,2,6
2022-06-15,6516,31533,299.2,136,9807.67,0.014,73,31,263,0,3,6
2022-06-16,8161,43785,202.4,92,4322.25,0.021,115,43,107,0,4,6
2022-06-17,6743,28211,275,125,12005.98,0.01,145,44,250,0,5,6
2022-06-18,5879,32148,147.4,67,3796.33,0.018,221,47,173,0,6,6
2022-06-19,5080,31531,202.4,92,4557.16,0.02,239,49,111,0,7,6
2022-06-20,3893,23179,198,90,8872.39,0.01,203,45,215,0,1,6
2022-06-21,5679,26920,371.8,169,8703.72,0.019,210,31,386,0,2,6
2022-06-22,5978,29366,294.8,134,4479.4,0.03,159,34,198,0,3,6
2022-06-23,5963,33672,341,155,7003.83,0.022,107,50,375,0,4,6
2022-06-24,6139,34171,195.8,89,6146.8,0.014,212,44,137,0,5,6
2022-06-25,5597,23607,349.8,159,6809.91,0.023,213,46,410,0,6,6
2022-06-26,6370,33647,327.8,149,7885.88,0.019,112,42,434,0,7,6
2022-06-27,7524,42175,418,190,17838.81,0.011,122,50,411,0,1,6
2022-06-28,6402,36186,224.4,102,8140.75,0.013,210,36,158,0,2,6
2022-06-29,4879,25338,224.4,102,3816.07,0.027,93,46,195,0,3,6
2022-06-30,6753,43209,259.6,118,5755.36,0.021,113,37,249,0,4,6
2022-07-01,5296,28801,173.8,79,6148.43,0.013,234,39,109,0,5,7
2022-07-02,4780,25359,215.6,98,7618.86,0.013,96,46,283,0,6,7
2022-07-03,7329,34144,327.8,149,8990.96,0.017,124,50,368,0,7,7
2022-07-04,5569,27370,233.2,106,6068.15,0.017,233,34,152,0,1,7
2022-07-05,7007,34352,420.2,191,12940.66,0.015,155,35,481,0,2,7
2022-07-06,6311,39249,231,105,6625.38,0.016,222,43,311,0,3,7
2022-07-07,5443,37375,279.4,127,6048.58,0.021,199,36,278,0,4,7
2022-07-08,6637,37588,345.4,157,9228.58,0.017,213,46,197,0,5,7
2022-07-09,6370,31169,288.2,131,5447.23,0.024,240,33,354,0,6,7
2022-07-10,6825,38446,297,135,6958.99,0.019,109,50,190,0,7,7
2022-07-11,3770,22091,193.6,88,3200.3,0.027,131,47,194,0,1,7
2022-07-12,4906,28212,193.6,88,3752.02,0.023,60,31,210,0,2,7
2022-07-13,5799,28694,136.4,62,3117.64,0.02,226,31,173,0,3,7
2022-07-14,7381,46057,352,160,8192.44,0.02,98,33,165,0,4,7
2022-07-15,5472,24261,140.8,64,3786.21,0.017,133,38,,0,5,7
2022-07-16,5003,33513,123.2,56,2658.54,0.021,192,34,,0,6,7
2022-07-17,5955,24075,343.2,156,12524.58,0.012,127,32,,0,7,7
2022-07-18,5460,31091,281.6,128,6490.2,0.02,102,48,,0,1,7
2022-07-19,6749,38635,433.4,197,8934.5,0.022,182,33,,0,2,7
2022-07-20,5986,41404,138.6,63,3875.73,0.016,142,38,,0,3,7
2022-07-21,6455,31052,336.6,153,14796.8,0.01,220,39,,0,4,7
2022-07-22,5869,30974,314.6,143,11735.19,0.012,114,37,,0,5,7
2022-07-23,5887,30333,336.6,153,6429.66,0.024,213,37,,0,6,7
2022-07-24,4915,21976,312.4,142,8074.81,0.018,225,35,,0,7,7
2022-07-25,6806,30774,301.4,137,13069.4,0.01,65,32,,0,1,7
2022-07-26,5708,37973,301.4,137,4756.12,0.029,211,50,,0,2,7
2022-07-27,5743,34727,140.8,64,5675.07,0.011,209,47,,0,3,7
2022-07-28,4478,21565,134.2,61,3570,0.017,153,44,,0,4,7
2022-07-29,6896,47823,193.6,88,3923.77,0.022,126,38,,0,5,7
2022-07-30,6259,32812,294.8,134,6738.48,0.02,211,49,,0,6,7
2022-07-31,5442,32747,195.8,89,4913.83,0.018,72,44,,0,7,7
2022-08-01,4702,26086,149.6,68,3987.97,0.017,120,48,103,0,1,8
2022-08-02,4334,28316,169.4,77,4734.17,0.016,142,34,182,0,2,8
2022-08-03,5934,40496,319,145,5850.72,0.025,153,43,287,0,3,8
2022-08-04,5067,24926,231,105,4815.13,0.022,177,46,212,0,4,8
2022-08-05,5779,26464,365.2,166,7311.89,0.023,223,39,480,0,5,8
2022-08-06,5988,27781,187,85,3868.12,0.022,119,32,176,0,6,8
2022-08-07,7392,45995,404.8,184,18267.51,0.01,158,37,495,0,7,8
2022-08-08,6314,39126,409.2,186,9447.29,0.02,64,30,432,0,1,8
2022-08-09,5066,31620,132,60,4595.19,0.013,201,40,138,0,2,8
2022-08-10,5747,25615,281.6,128,4775.07,0.027,110,36,210,0,3,8
2022-08-11,8083,54303,275,125,4444.35,0.028,142,34,218,0,4,8
2022-08-12,6800,43041,239.8,109,9515.41,0.011,213,44,173,0,5,8
2022-08-13,7888,53977,435.6,198,6643.53,0.03,121,36,258,0,6,8
2022-08-14,6103,26086,319,145,8593.91,0.017,105,30,242,0,7,8
2022-08-15,7268,49530,246.4,112,9495.11,0.012,152,39,191,0,1,8
2022-08-16,5096,26844,213.4,97,3763.84,0.026,173,41,111,0,2,8
2022-08-17,5986,36033,275,125,4599.08,0.027,132,38,127,0,3,8
2022-08-18,8183,55814,499.4,227,7741.89,0.029,234,44,362,0,4,8
2022-08-19,8268,36026,431.2,196,6675.06,0.029,235,50,531,0,5,8
2022-08-20,5978,40910,323.4,147,5578.37,0.026,198,44,158,0,6,8
2022-08-21,4217,24900,116.6,53,2155.78,0.025,187,37,117,0,7,8
2022-08-22,6070,37088,264,120,5397.02,0.022,231,36,322,0,1,8
2022-08-23,7747,36836,453.2,206,11455.24,0.018,115,31,483,0,2,8
2022-08-24,6191,27885,327.8,149,6908.21,0.022,213,39,443,0,3,8
2022-08-25,6666,37602,371.8,169,9350.36,0.018,136,43,175,0,4,8
2022-08-26,8292,42035,512.6,233,21471.59,0.011,85,47,248,0,5,8
2022-08-27,6691,27414,283.8,129,9501.31,0.014,213,41,306,0,6,8
2022-08-28,4924,19728,301.4,137,6564.25,0.021,111,48,179,0,7,8
2022-08-29,7435,45736,204.6,93,5510.02,0.017,157,36,241,0,1,8
2022-08-30,7220,48985,327.8,149,7184.35,0.021,112,48,260,0,2,8
2022-08-31,5958,38041,147.4,67,3276.66,0.02,197,45,110,0,3,8
2022-09-01,6733,35278,330,150,13447.79,0.011,62,47,347,0,4,9
2022-09-02,4344,27217,112.2,51,3041.21,0.017,226,39,125,0,5,9
2022-09-03,8806,46955,486.2,221,19676.55,0.011,107,40,610,0,6,9
2022-09-04,7135,41542,301.4,137,9226.06,0.015,153,32,404,0,7,9
2022-09-05,6321,36998,283.8,129,4827.55,0.027,97,42,182,0,1,9
2022-09-06,7962,34626,429,195,8357.88,0.023,209,49,494,0,2,9
2022-09-07,5860,34501,165,75,2913.75,0.026,204,44,169,0,3,9
2022-09-08,6557,40991,349.8,159,11926.91,0.013,115,34,160,0,4,9
2022-09-09,6434,32523,253,115,6543.98,0.018,205,44,303,0,5,9
2022-09-10,4677,25769,180.4,82,5429.27,0.015,172,34,197,0,6,9
2022-09-11,6942,28805,409.2,186,6308.75,0.029,159,43,329,0,7,9
2022-09-12,6245,32506,292.6,133,7045.79,0.019,94,35,364,0,1,9
2022-09-13,6722,44740,259.6,118,5239.81,0.023,156,46,188,0,2,9
2022-09-14,7129,43782,418,190,6531.44,0.029,100,35,464,0,3,9
2022-09-15,4260,25547,233.2,106,5377.03,0.02,70,31,248,0,4,9
2022-09-16,5401,37170,305.8,139,5410.45,0.026,105,39,403,0,5,9
2022-09-17,4750,25224,173.8,79,3043.17,0.026,166,39,161,0,6,9
2022-09-18,6575,34074,154,70,3634.71,0.019,98,49,111,0,7,9
2022-09-19,6550,38279,354.2,161,8602.09,0.019,154,49,184,0,1,9
2022-09-20,8018,51673,286,130,7667.39,0.017,120,37,250,0,2,9
2022-09-21,4710,27338,176,80,3967.8,0.02,155,30,193,0,3,9
2022-09-22,5342,26117,189.2,86,3834.17,0.022,99,40,198,0,4,9
2022-09-23,6377,33442,242,110,4291.06,0.026,127,43,175,0,5,9
2022-09-24,5204,28767,321.2,146,5046.37,0.029,131,44,219,0,6,9
2022-09-25,6605,34916,281.6,128,4490.78,0.029,234,45,160,0,7,9
2022-09-26,6570,27399,411.4,187,7375.52,0.025,158,34,560,0,1,9
2022-09-27,6899,41314,369.6,168,5671.8,0.03,142,36,498,0,2,9
2022-09-28,6350,29541,349.8,159,8139.41,0.02,81,48,330,0,3,9
2022-09-29,4634,29919,202.4,92,3135.58,0.029,164,46,101,0,4,9
2022-09-30,7319,34195,301.4,137,6287.51,0.022,226,46,209,0,5,9
2022-10-01,6782,42358,376.2,171,12348.76,0.014,116,36,212,0,6,10
2022-10-02,6593,29104,312.4,142,4767.57,0.03,193,41,424,0,7,10
2022-10-03,7444,51600,303.6,138,9145.76,0.015,188,47,365,0,1,10
2022-10-04,6718,31737,398.2,181,9508.34,0.019,178,39,286,0,2,10
2022-10-05,5854,24478,178.2,81,2933.74,0.028,174,46,154,0,3,10
2022-10-06,4681,31802,149.6,68,3015.56,0.023,189,39,70,0,4,10
2022-10-07,4488,28410,211.2,96,3620.11,0.027,73,50,213,0,5,10
2022-10-08,4435,22588,233.2,106,5391.34,0.02,118,43,260,0,6,10
2022-10-09,5668,33722,261.8,119,9905.14,0.012,214,40,127,0,7,10
2022-10-10,5390,31281,136.4,62,2526.64,0.025,135,49,77,0,1,10
2022-10-11,6913,48366,213.4,97,5258.51,0.018,161,32,174,0,2,10
2022-10-12,4737,19457,217.8,99,3803.19,0.026,181,45,231,0,3,10
2022-10-13,6569,33236,426.8,194,14139.89,0.014,105,40,569,0,4,10
2022-10-14,6376,31068,180.4,82,3316.32,0.025,164,49,145,0,5,10
2022-10-15,7158,41531,200.2,91,4619.05,0.02,234,33,187,0,6,10
2022-10-16,3702,15585,198,90,7034.33,0.013,130,47,241,0,7,10
2022-10-17,7325,49410,330,150,13994.43,0.011,125,45,419,0,1,10
2022-10-18,6937,33955,167.2,76,4991.68,0.015,227,45,147,0,2,10
2022-10-19,7308,36914,457.6,208,7530.59,0.028,134,45,286,0,3,10
2022-10-20,7337,31867,231,105,4100.14,0.026,218,37,213,0,4,10
2022-10-21,6462,40494,250.8,114,4688.08,0.024,110,40,337,0,5,10
2022-10-22,6591,31346,360.8,164,8599.94,0.019,69,39,296,0,6,10
2022-10-23,5664,29265,127.6,58,2290.33,0.025,177,48,64,0,7,10
2022-10-24,6837,32248,367.4,167,12692.83,0.013,107,41,403,0,1,10
2022-10-25,3979,23469,90.2,41,1838.01,0.022,185,40,88,0,2,10
2022-10-26,8532,54344,233.2,106,7874.03,0.013,111,41,177,0,3,10
2022-10-27,5937,33604,321.2,146,5102.91,0.029,231,35,271,0,4,10
2022-10-28,3387,15410,83.6,38,1589.18,0.024,149,39,45,0,5,10
2022-10-29,5880,34176,277.2,126,4241.4,0.03,180,49,135,0,6,10
2022-10-30,6589,31755,286,130,4861.72,0.027,63,33,337,0,7,10
2022-10-31,5700,32585,292.6,133,7153.66,0.019,115,44,160,0,1,10
2022-11-01,7041,43891,180.4,82,4289.45,0.019,123,38,99,0,2,11
2022-11-02,7510,38549,171.6,78,5020.95,0.016,238,44,199,0,3,11
2022-11-03,7252,29861,222.2,101,4458.34,0.023,212,30,207,0,4,11
2022-11-04,6768,38644,239.8,109,6815.66,0.016,195,33,194,0,5,11
2022-11-05,5378,21903,206.8,94,3230.51,0.029,71,30,270,0,6,11
2022-11-06,6725,33796,228.8,104,6219.15,0.017,192,47,250,0,7,11
2022-11-07,6319,33687,314.6,143,5395.01,0.027,125,31,390,0,1,11
2022-11-08,4918,29613,127.6,58,2458.27,0.024,234,31,135,0,2,11
2022-11-09,5050,31784,211.2,96,8503.53,0.011,100,50,286,0,3,11
2022-11-10,7112,35243,286,130,9551.78,0.014,70,38,189,0,4,11
2022-11-11,7241,39417,180.4,82,5749.07,0.014,191,30,212,0,5,11
2022-11-12,6111,40774,336.6,153,6282.15,0.024,134,34,170,0,6,11
2022-11-13,5837,37523,167.2,76,4981.14,0.015,141,48,89,0,7,11
2022-11-14,6285,31822,226.6,103,4061.51,0.025,161,34,299,0,1,11
2022-11-15,7065,29926,457.6,208,11553.77,0.018,140,30,256,0,2,11
2022-11-16,7155,46839,442.2,201,13841.28,0.015,199,44,584,0,3,11
2022-11-17,5315,34031,305.8,139,6174.57,0.023,161,40,375,0,4,11
2022-11-18,5938,35661,288.2,131,4645.76,0.028,142,38,159,0,5,11
2022-11-19,7400,35394,358.6,163,8651.93,0.019,92,48,177,0,6,11
2022-11-20,7918,41942,446.6,203,15167.11,0.013,99,32,297,0,7,11
2022-11-21,10757,61809,358.6,163,6024.56,0.027,194,43,294,0,1,11
2022-11-22,9211,42791,327.8,149,10238.96,0.015,410,36,203,0,2,11
2022-11-23,19615,93342,1293.6,588,26764.96,0.022,234,47,1040,0,3,11
2022-11-24,14011,90866,908.6,413,16979.58,0.024,118,45,656,0,4,11
2022-11-25,12291,101471,1405.8,639,38994.89,0.016,327,20,1945,1,5,11
2022-11-26,10655,80475,1075.8,489,18126.95,0.027,344,15,2319,1,6,11
2022-11-27,9768,75604,1300.2,591,33718.25,0.018,292,22,2689,1,7,11
2022-11-28,11586,81130,1375,625,24587.67,0.025,304,16,2244,1,1,11
2022-11-29,13257,95854,1713.8,779,35333.79,0.022,404,15,3285,1,2,11
2022-11-30,9713,72865,1069.2,486,28339.26,0.017,250,16,2406,1,3,11
2022-12-01,7388,29586,413.6,188,7318.14,0.026,203,46,208,0,4,12
2022-12-02,7156,31945,354.2,161,7280.04,0.022,72,35,196,0,5,12
2022-12-03,6746,47142,239.8,109,7864.08,0.014,224,43,321,0,6,12
2022-12-04,6220,36876,352,160,9240.41,0.017,73,33,428,0,7,12
2022-12-05,6477,38685,281.6,128,5173.66,0.025,76,46,271,0,1,12
2022-12-06,6351,31621,411.4,187,9687.25,0.019,217,34,207,0,2,12
2022-12-07,6350,30788,145.2,66,5228.96,0.013,173,50,160,0,3,12
2022-12-08,6088,40751,334.4,152,5207.55,0.029,156,37,194,0,4,12
2022-12-09,4994,22268,189.2,86,3204.81,0.027,190,41,144,0,5,12
2022-12-10,6048,39210,231,105,4087.87,0.026,67,35,219,0,6,12
2022-12-11,6911,27991,204.6,93,7574.25,0.012,137,33,124,0,7,12
2022-12-12,4918,27006,279.4,127,9300.5,0.014,165,37,170,0,1,12
2022-12-13,5496,28742,129.8,59,3330.32,0.018,106,36,135,0,2,12
2022-12-14,8836,59760,235.4,107,3643.18,0.029,146,50,184,0,3,12
2022-12-15,7342,38403,261.8,119,8184.01,0.015,110,39,182,0,4,12
